Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
0089|AIGUETTE (RUE DE L')|TO|3|0018|TMI|TO3|TO2|||||||
0092|AIX (RUE D')|TR|2|0065|TR|TO3|TO1|||||||
0094|ALAGNON (RUE DE L')|B|1|0092|B|TO3|TO1|||||||
0095|ALAIN FOURNIER (RUE)|TO|2|0018|TMI|TO3|TO2|||||||
0096|ALAIN GERBAULT (AVE)|TO|4|0018|TMI|TO3|TO2|||||||
0098|ALAIN LESAGE (RUE)|TR|4|0065|TR|TO3|TO1|||||||
0100|ALARIC II (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
0104|ALBANIE REGOURD (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0108|ALBARET (RUE D')|TNO|4|0064|TNO|TO3|TO1|||||||
0110|ALBERT EINSTEIN (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0112|ALBERT BEDOUCE (AVE)|TR|1|0065|TR|TO3|TO1|||||||
0113|ALBERT CAROVIS (RUE)|TO|3|0018|TMI|TO3|TO1|||||||
0114|ALBERT CAMUS (PASS)|TSO|1|0029|TMI|TO3|TO2|||||||
0115|ALBERT FRONTY (IMP)|TN|4|0063|TN|TO3|TO1|||||||
0116|ALBERT LAUTMANN (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
0118|ALBERT REGAGNON (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
0120|ALBERT SOREL  (RUE)|B|1|0092|B|TO3|TO1|||||||
0121|ALBERT VANDEL (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
0122|ALBERTO SANTOS DUMONT (RUE)|TSE|3|0028|TR|TO3|TO1|||||||
0124|ALBI (RTE)  (Impairs)|B|1|0092|B|TO3|TO1|||||||
0124|ALBI (RTE)  (Pairs)|B|1|0092|B|TO3|TO1|||||||
0130|ALBIGEOIS (RUE DES)|B|1|0092|B|TO3|TO1|||||||
0132|ALBUS (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
0134|ALDEGUIER (RUE D')|TSE|4|0028|TR|TO3|TO1|||||||
0136|ALENCON (RUE D')|TSE|4|0028|TR|TO3|TO1|||||||
0140|ALES (RUE D')|TSO|1|0029|TMI|TO3|TO2|||||||
0141|ALEXANDRE ANSALDI (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
0142|ALEX COUTET (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0144|ALEXANDRE BISSON (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
0145|ALEX JANY (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
0146|ALEXANDRA DAVID  NEEL (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
0148|ALEXANDRE CABANEL (RUE)|TC|3|0027|TC|TO3|TO1|||||||
0152|ALEXANDRE DUCOS (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
0154|ALEXANDRE FLEMING (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
0156|ALEXANDRE FOURTANIER(RUE)|TC|3|0027|TC|TO3|TO1|||||||
