Code|RUES|"Service des Impôts des Particuliers
(SIP)"|Secteur d'assiette (SA)|Trésorerie|Service des Impôts des Entreprises (SIE)|Pôle enregis-trement (PE)|"Service de Publicité Foncière 
(SPF) "|||||||
2536|DAUTEZAC (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2538|DAVID ELBAZ (RUE)|B|2|0092|B|TO3|TO1|||||||
2539|DAVID FREIMAN (ROND Point)|B|2|0092|B|TO3|TO1|||||||
2540|DAYDE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
2544|DE LATTRE DE TASSIGNY(AVE)|TR|2|0065|TR|TO3|TO1|||||||
2548|DEBAT PONSAN (AVE)|TNO|2|0064|TNO|TO3|TO1|||||||
2556|DELACOURTIE (BLD)  (Impairs)|TC|1|0027|TC|TO3|TO1|||||||
2556|DELACOURTIE (BLD)  (Pairs)|TR|1|0065|TR|TO3|TO1|||||||
2560|DELACROIX (RUE)|TC|3|0027|TC|TO3|TO1|||||||
2564|DELBOUSQUET (CHEM)|TN|3|0063|TN|TO3|TO1|||||||
2568|DELMAS (RUE)|TR|1|0065|TR|TO3|TO1|||||||
2572|DELPECH (RUE)|TC|3|0027|TC|TO3|TO1|||||||
2573|DELPHINE SEYRIG|TN|4|0063|TN|TO3|TO1|||||||
2573|DELPHINE SEYRIG (RUE)|TN|4|0063|TN|TO3|TO1|||||||
2576|DELPY (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2580|DELTOUR (BLD)  (32A)|TSE|3|0028|TR|TO3|TO1|||||||
2580|DELTOUR (BLD)  (41 à la fin et 32B à la fin)|TSE|1|0028|TR|TO3|TO1|||||||
2580|DELTOUR (BLD) (1 à 39 et 2 à 32)|TSE|4|0028|TR|TO3|TO1|||||||
2584|DEMOISELLES (ALL DES)|TR|3|0065|TR|TO3|TO1|||||||
2588|DEMOUILLES (RUE)|TR|3|0065|TR|TO3|TO1|||||||
2592|DENFERT ROCHEREAU (RUE)|TC|3|0027|TC|TO3|TO1|||||||
2596|DENIS PAPIN (RUE)|B|2|0092|B|TO3|TO1|||||||
2598|DENT D'ORLU (IMP)|TSE|4|0028|TR|TO3|TO1|||||||
2599|DEODAT ROCHE (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2600|DEODAT DE SEVERAC (BLD) (133 à la fin)|TO|3|0018|TMI|TO3|TO2|||||||
2600|DEODAT DE SEVERAC (BLD)  (1 à131)|TSO|2|0029|TMI|TO3|TO2|||||||
2600|DEODAT DE SEVERAC (BLD)  (Pairs).|TSO|2|0029|TMI|TO3|TO2|||||||
2604|DEODORA (RUE)|TR|3|0065|TR|TO3|TO1|||||||
2605|DEPECHE (IMP DE LA)|TO|3|0018|TMI|TO3|TO2|||||||
2606|DEPECHE (AVE DE LA)|TO|3|0018|TMI|TO3|TO2|||||||
2607|CHRISTINE DE PISAN (RUE)|B|2|0092|B|TO3|TO1|||||||
2608|DERAT (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
2612|DESARNAUTS (RUE)|TR|1|0065|TR|TO3|TO1|||||||
2613|DESARDURATS (CHEM DES)|TR|2|0065|TR|TO3|TO1|||||||
2616|DESCOINS TINARD (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2620|DESCOULOUBRE (IMP)|TN|2|0063|TN|TO3|TO1|||||||
2622|DESPAX (IMP)|TSO|2|0029|TMI|TO3|TO2|||||||
2624|DESPREZ (RUE)|TR|3|0065|TR|TO3|TO1|||||||
2625|CHARLES DESPIAU (RUE)|TSO|1|0029|TMI|TO3|TO2|||||||
2626|CHARLES DESPIAU (IMP)|TSO|1|0029|TMI|TO3|TO2|||||||
2628|DESSALES (RUE)|B|2|0092|B|TO3|TO1|||||||
2632|DESTARAC (IMP)|TR|2|0065|TR|TO3|TO1|||||||
2636|DEUX SEVRES (IMP DES)|TR|4|0065|TR|TO3|TO1|||||||
2640|DEVIC (RUE)|TR|1|0065|TR|TO3|TO1|||||||
2644|DEVILLE (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
2646|DHUODA (RUE)|TO|1|0018|TMI|TO3|TO2|||||||
2647|DIANE (IMP DE)|TO|3|0018|TMI|TO3|TO2|||||||
2649|DIDIER DAURAT (AVE PROLONGEE)|TSE|3|0028|TR|TO3|TO1|||||||
2650|DIDEROT (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
2651|DIDIER DAURAT (AVE)|TSE|3|0028|TR|TO3|TO1|||||||
2652|DIEU (RUE)|B|2|0092|B|TO3|TO1|||||||
2653|DIDIER DAURAT (IMP)|TSE|3|0028|TR|TO3|TO1|||||||
2654|DIEUDONNE COSTES (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
2655|DIEPPE (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
2656|DIGUE (RUE DE LA)|TSO|2|0029|TMI|TO3|TO2|||||||
2660|DILLON (COURS)|TSO|2|0029|TMI|TO3|TO2|||||||
2664|DINETARD (RUE)|B|2|0092|B|TO3|TO1|||||||
2668|DIX AVRIL (RUE DU)|B|2|0092|B|TO3|TO1|||||||
2669|DIX NEUF AOUT 1944 (ESPL)|TC|3|0027|TC|TO3|TO1|||||||
2671|DJANGO REINHARDT (ALL)|TNO|2|0064|TNO|TO3|TO1|||||||
2673|DJANGO REINHARDT (IMP)|TNO|2|0064|TNO|TO3|TO1|||||||
2674|DOCTEUR A. SCHWEITZER (RUE)|B|2|0092|B|TO3|TO1|||||||
2675|DOCTEUR ALBERT SALLET (PROM)|TR|3|0065|TR|TO3|TO2|||||||
2676|DOCTEUR BAYLAC (PLACE)|TO|4|0018|TMI|TO3|TO2|||||||
2680|DOCTEUR BERNABEIG (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2681|DOCTEUR BIGNERES (IMP)|B|2|0092|B|TO3|TO1|||||||
2684|DOCTEUR CALMETTE (RUE DU)|TSO|2|0029|TMI|TO3|TO2|||||||
2690|DOCTEUR C. BONNEAU (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
2692|DOCTEUR DELHERM (RUE DU)|TSO|2|0029|TMI|TO3|TO2|||||||
2693|DOCTEUR DIDIER BASQUE (CHEM DU)|TR|2|0065|TR|TO3|TO1|||||||
2695|DOCTEUR ETIENNE GAY (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
2699|DOCTEUR GEORGES ROQUES (RPT)|TO|2|0018|TMI|TO3|TO2|||||||
2700|DOCTEUR F. GENDRE (RUE)|B|2|0092|B|TO3|TO1|||||||
2701|DOCTEUR HERVE (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2703|DOCTEUR JEAN PIQUEPE(RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2704|DOCTEUR JEAN ARLAUD (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
2708|DOCTEUR JEAN TOUJAN (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
2711|DOCTEUR J. LAURENT (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
2712|DOCTEUR MARCEL BOUVIER (RUE)|TN|1|0063|TN|TO3|TO1|||||||
2713|DOCTEUR MAURICE GRYNFOGEL (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2714|DOCTEUR MAURICE CAHUZAC (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
2715|DOCTEUR MAURICE PUJOL (SQUARE)|TSO|2|0029|TMI|TO3|TO2|||||||
2716|DOCTEUR PAUL PUJOS (RUE)|TN|2|0063|TN|TO3|TO1|||||||
2717|DOCTEUR P. VOIVENEL (RUE)|B|2|0092|B|TO3|TO1|||||||
2718|DOCTEUR P. VOIVENEL(IMP)|B|2|0092|B|TO3|TO1|||||||
2720|DOCTEUR ROUX (RUE DU)|TSO|2|0029|TMI|TO3|TO2|||||||
2721|VICTOR SCHOELCHER (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2722|DOCTEUR SANIERES (RUE DU)|TNO|2|0064|TNO|TO3|TO1|||||||
2724|DOLIVE (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2728|DOM VAISSETTE (IMP)|TC|3|0027|TC|TO3|TO1|||||||
2732|DOME (RUE DU)|B|2|0092|B|TO3|TO1|||||||
2734|DOMINIQUE BOYER (IMP)|TSE|1|0028|TR|TO3|TO1|||||||
2736|DOMINIQUE CLOS (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2738|DONATELLO (IMP)|TN|4|0063|TN|TO3|TO1|||||||
2740|DOMREMY (RUE DE)|TNO|4|0064|TNO|TO3|TO1|||||||
2744|DORDOGNE (RUE DE LA)|B|2|0092|B|TO3|TO1|||||||
2746|LE DORMEUR (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
2748|DORTIS (CHEM)|TN|3|0063|TN|TO3|TO1|||||||
2752|DOUAI (IMP)|TSE|1|0028|TR|TO3|TO1|||||||
2756|DOUAUMONT (RUE DE)|TN|1|0063|TN|TO3|TO1|||||||
2760|DOUBS (RUE DU|TSO|2|0029|TMI|TO3|TO2|||||||
2762|DOULADOURE (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2764|DOUVILLE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
2765|DOYEN GABRIEL MARTY (RUE DU)|TNO|1|0064|TNO|TO3|TO1|||||||
2766|DOYEN LEFEBVRE (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2767|DOYEN JULES MARSAN (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2768|DRAGUIGNAN (RUE DE)|TR|2|0065|TR|TO3|TO1|||||||
2772|DROME (RUE DE LA )|TSO|2|0029|TMI|TO3|TO2|||||||
2776|DROUET (RUE)|B|2|0092|B|TO3|TO1|||||||
2780|DUBEZY (RUE)|B|2|0092|B|TO3|TO1|||||||
2784|DUCIS (RPT)|TO|4|0018|TMI|TO3|TO2|||||||
2792|DUFAUR DE PIBRAC (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2800|DUFOUR (RUE)|TR|1|0065|TR|TO3|TO1|||||||
2804|DULAURIER (RUE)|TC|3|0027|TC|TO3|TO1|||||||
2808|DULONG (RUE)|TN|3|0063|TN|TO3|TO1|||||||
2812|DUMEGE (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2816|DUNKERQUE (RUE DE)|TNO|4|0064|TNO|TO3|TO1|||||||
2820|DUPONT (RUE)|B|2|0092|B|TO3|TO1|||||||
2828|DUPUY (PLACE)|TC|3|0027|TC|TO3|TO1|||||||
2832|DUPUY DU GREZ (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2835|DURAND (IMP)|B|2|0092|B|TO3|TO1|||||||
2836|DURAND (RUE)|B|2|0092|B|TO3|TO1|||||||
2840|DUROC (IMP)|TNO|2|0064|TNO|TO3|TO1|||||||
2844|DUROUX (CHEM DE)|TSE|1|0028|TR|TO3|TO1|||||||
2845|DUROUX (IMP)|TSE|1|0028|TR|TO3|TO1|||||||
2848|EAU (RUE DE L')|TC|1|0027|TC|TO3|TO1|||||||
2852|ECHARPE (RUE DE L')|TNO|1|0064|TNO|TO3|TO1|||||||
2856|ECOLE VETERINAIRE (RUE)|B|2|0092|B|TO3|TO1|||||||
2860|ECOLES JULES JULIEN (AVE)|TR|1|0065|TR|TO3|TO1|||||||
2864|ECUREUIL (RUE DE L')|TR|1|0065|TR|TO3|TO1|||||||
2868|EDELWEISS (RUE DES)|TR|2|0065|TR|TO3|TO1|||||||
2871|EDITH PIAF (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2872|EDGAR DEGAS (RUE)|TN|4|0063|TN|TO3|TO1|||||||
2874|EDGAR VARESE (CHEM)|TSO|2|0029|TMI|TO3|TO2|||||||
2875|EDMOND AUDRAN (IMP)|TNO|3|0064|TNO|TO3|TO1|||||||
2876|EDMOND DE GONCOURT (RUE)|B|2|0092|B|TO3|TO1|||||||
2877|EDMOND CHAMBERT (IMP)|TSO|2|0029|TMI|TO3|TO2|||||||
2880|EDMOND DE PLANET (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
2881|EDMOND GAUJAC (RUE)|B|2|0092|B|TO3|TO1|||||||
2882|EDMOND GAUJAC (IMP)|B|2|0092|B|TO3|TO1|||||||
2884|EDMOND GUYAUX (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
2885|EDMOND HARAUCOURT (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2886|EDMOND LASSALLE (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
2888|EDMOND ROSTAND (RUE)|B|2|0092|B|TO3|TO1|||||||
2892|EDOUARD BAUDRIMONT (RUE)|TR|1|0065|TR|TO3|TO1|||||||
2894|EDOUARD BELIN (AVE)|TSE|3|0028|TR|TO3|TO1|||||||
2896|EDOUARD BRANLY (ALL)|TR|3|0065|TR|TO3|TO1|||||||
2898|EDOUARD BOUILLIERE (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
2899|EDOUARD ESTAUNIE (IMP)|B|2|0092|B|TO3|TO1|||||||
2900|EDOUARD HERRIOT (IMP)|TR|2|0065|TR|TO3|TO1|||||||
2901|EDOUARD GELIS (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2902|EDOUARD LARTET (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
2903|EDOUARD PAILLERON (RUE)|B|2|0092|B|TO3|TO1|||||||
2904|EDOUARD VAILLANT (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2905|EFT (ALLEE DE L')|TO|3|0018|TMI|TO3|TO2|||||||
2906|EGALITE (RUE DE L')|TNO|3|0064|TNO|TO3|TO1|||||||
2908|EGLANTINES (RUE DES)|TSE|1|0028|TR|TO3|TO1|||||||
2912|EGLISE BONNEFOY (IMP)|B|2|0092|B|TO3|TO1|||||||
2916|EGLISE DE LALANDE (CHEM)|TN|3|0063|TN|TO3|TO1|||||||
2917|EGLISE DE LALANDE (IMP)|TN|3|0063|TN|TO3|TO1|||||||
2918|EGLISE DE LALANDE (PL)|TN|3|0063|TN|TO3|TO1|||||||
2920|EGLISE DE MONTAUDRAN (CHEM)|TSE|4|0028|TR|TO3|TO1|||||||
2928|EGLISE SAINT SIMON (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
2932|EIFFEL (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2936|EL ALAMEIN (RUE)|TN|2|0063|TN|TO3|TO1|||||||
2938|ELCHE (AVE D')|TNO|3|0064|TNO|TO3|TO1|||||||
2939|ELISE DEROCHE (ALLEE)|TSE|3|0028|TR|TO3|TO1|||||||
2939|ELISE ROCHE (ALLEE)|TSE|3|0028|TR|TO3|TO1|||||||
2940|ELIANE (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
2941|ELLA MAILLART (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
2942|ELISABETH THOMAS DE MONLAUR(RUE)|B|2|0092|B|TO3|TO1|||||||
2943|ELISABETH VIGEE LEBRUN (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
2944|ELVIRE (RUE)|TR|2|0065|TR|TO3|TO1|||||||
2948|EMBARTHE (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
2951|EMBOUCHURE (IMP DE L')|TNO|4|0064|TNO|TO3|TO1|||||||
2952|EMBOUCHURE (BLD DE L')|TNO|4|0064|TNO|TO3|TO1|||||||
2956|PORT DE L'EMBOUCHURE (Impairs)|TNO|2|0064|TNO|TO3|TO1|||||||
2956|PORT DE L'EMBOUCHURE (Pairs)|TNO|2|0064|TNO|TO3|TO1|||||||
2963|EMILE BERTRAND (RPT)|TN|4|0063|TN|TO3|TO1|||||||
2964|EMILE BARRIERE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
2965|EMILE BLOUIN (PLACE)|B|2|0092|B|TO3|TO1|||||||
2966|EMILE BAUDOT (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2967|EMILE BRASSINE (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
2968|EMILE CAFFORT (RUE)|TN|1|0063|TN|TO3|TO1|||||||
2972|EMILE CARTAILHAC (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
2975|EMILE DEWOITINE (AVE)|TNO|4|0064|TNO|TO3|TO1|||||||
2976|EMILE DUPLOYE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
2978|EMILE GUYOU (RUE)|TR|4|0065|TR|TO3|TO1|||||||
2980|EMILE HEYBRARD (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
2981|EMILE-JOSEPH FOURNIER (RPT)|B|2|0092|B|TO3|TO1|||||||
2982|EMILE LECRIVAIN (RUE)|TSE|3|0028|TR|TO3|TO1|||||||
2984|EMILE LITTRE (RUE)|TSE|3|0028|TR|TO3|TO1|||||||
2988|EMILE MALE (PLACE)|TO|3|0018|TMI|TO3|TO2|||||||
2989|EMILE MONSO (ALL)|TSE|3|0028|TR|TO3|TO1|||||||
2992|EMILE PAUL HEUILLET (RUE)|B|2|0092|B|TO3|TO1|||||||
2993|EMILE PELLETIER (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
2994|EMILE PERIES (IMP)|TN|3|0063|TN|TO3|TO1|||||||
2995|EMILE POIRIER (PASS)|B|2|0092|B|TO3|TO1|||||||
2996|EMILE ZOLA (RUE)|B|2|0092|B|TO3|TO1|||||||
2997|EMILIE BOGOTTINI (ALLEE)|TO|3|0018|TMI|TO3|TO2|||||||
2998|EMMANUEL ARIN (RUE)|TO|2|0018|TMI|TO3|TO2|||||||
3000|EMMANUEL CHABRIER (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
3001|EMMANUEL LAURENT (ALL)|TSO|1|0029|TMI|TO3|TO1|||||||
3005|LAS CAZES (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
3008|EMPALOT (AVE D')|TR|2|0065|TR|TO3|TO1|||||||
3010|EMPALOT (PLACE D')|TR|4|0065|TR|TO3|TO1|||||||
3012|ENERGIE (RUE DE L')|B|2|0092|B|TO3|TO1|||||||
3016|ENGALIERES (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
3017|ENRICO CARUSO (CHEM)|TNO|4|0064|TNO|TO3|TO1|||||||
3018|ENRICO FERMI (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
3020|ENTRAIDE (RUE DE L')|TR|4|0065|TR|TO3|TO1|||||||
3022|ENVEITG (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
3023|ENZO GODEAS (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3024|EPARGES (RUE DES)|B|2|0092|B|TO3|TO1|||||||
3025|ENZO GODEAS (PLACE)|B|2|0092|B|TO3|TO1|||||||
3026|EPOUX MONGELARD (RPT DES)|TO|3|0018|TMI|TO3|TO2|||||||
3028|ERABLES (RUE DES)|TN|3|0063|TN|TO3|TO1|||||||
3030|EPHRAIM MICHAEL (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
3032|ERASME (RUE)|TR|1|0065|TR|TO3|TO1|||||||
3034|ERIC SATIE (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3035|ERNEST DUFER (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
3036|ERNEST FEYDEAU (RUE)|B|2|0092|B|TO3|TO1|||||||
3040|ERNEST MERIMEE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3044|ERNEST RENAN (RUE)  (Pairs)|B|2|0092|B|TO3|TO1|||||||
3044|ERNEST RENAN (RUE)  (Impairs)|TN|4|0063|TN|TO3|TO1|||||||
3046|ESCALDES (IMP)|TO|3|0018|TMI|TO3|TO2|||||||
3048|ESCALLES (CHEM D')|TR|2|0065|TR|TO3|TO1|||||||
3052|ESCLARMONDE (RUE)|TSE|1|0028|TR|TO3|TO1|||||||
3056|ESCOUSSIERES ARNAUD BERNARD (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3060|ESCOUSSIERES MONTGAILLARD (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3062|ROBERT ESNAULT PELTERIE (PLACE)|TSE|3|0028|TR|TO3|TO1|||||||
3064|ESPAGNE (RTE D')|TSO|2|0029|TMI|TO3|TO2|||||||
3068|ESPEISSIERE (CHEM DE L')|TO|3|0018|TMI|TO3|TO2|||||||
3072|ESPERANCE (RUE DE L')|TN|2|0063|TN|TO3|TO1|||||||
3076|ESPINASSE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3080|ESQUILE (RUE DE L')|TNO|1|0064|TNO|TO3|TO1|||||||
3084|ESQUIROL (PLACE)  (16 à 998 et 17 à la fin)|TC|1|0027|TC|TO3|TO1|||||||
3084|ESQUIROL (PLACE)  (9002A à la fin) |TC|1|0027|TC|TO3|TO1|||||||
3084|ESQUIROL (PLACE)  (1 à15) (2 à14)|TNO|1|0064|TNO|TO3|TO1|||||||
3084|ESQUIROL (PLACE)  (1000 à 9000)|TNO|1|0064|TNO|TO3|TO1|||||||
3084|ESQUIROL (PLACE)  (9002)|TNO|1|0064|TNO|TO3|TO1|||||||
3088|EST (RUE DE L')|TSE|2|0028|TR|TO3|TO1|||||||
3089|ESTEREL (RUE DE L')|TR|2|0065|TR|TO3|TO1|||||||
3090|ESTIENNE D'ORVES (AVE D')|TSE|2|0028|TR|TO3|TO1|||||||
3092|ESTIENNY (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
3096|ESTIEU (RUE)|B|2|0092|B|TO3|TO1|||||||
3100|ESTRAPADE (PLACE DE L')|TSO|2|0029|TMI|TO3|TO2|||||||
3104|ETATS UNIS (AVE DES) (2 à 220 et 282 à 368)|TN|3|0063|TN|TO3|TO1|||||||
3104|ETATS UNIS (AVE DES) (1 à 297 et 222 à 280)|TNO|2|0064|TNO|TO3|TO1|||||||
3104|ETATS UNIS (AVE DES) (299 à la fin et 370 à la fin)|TNO|2|0064|TNO|TO3|TO1|||||||
3108|ETATS UNIS (IMP)  (Pairs)|TN|3|0063|TN|TO3|TO1|||||||
3108|ETATS UNIS (IMP)  (Impairs)|TNO|2|0064|TNO|TO3|TO1|||||||
3112|ETIENNE BACQUIE (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3116|ETIENNE BILLIERES (AVE)|TSO|2|0029|TMI|TO3|TO2|||||||
3118|ETIENNE DOLET (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
3121|ETIENNE ESCOLA (RPT)|TO|2|0018|TMI|TO3|TO2|||||||
3124|ETIENNE LACEPEDE (RUE)|B|2|0092|B|TO3|TO1|||||||
3128|ETOILE (RUE DE L')|TC|3|0027|TC|TO3|TO1|||||||
3129|ETIENNE DE MALENFANT (PLACE)|TSO|2|0029|TMI|TO3|TO2|||||||
3130|ETROITE (RUE)|TNO|1|0064|TNO|TO3|TO1|||||||
3132|ETROITS (CHEM DES)|TR|2|0065|TR|TO3|TO1|||||||
3136|EUGENE BRIEUX (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
3137|EUGENE CLAUDIUS PETIT (RPT)|TO|3|0018|TMI|TO3|TO2|||||||
3138|EUGENE D'HAUTPOUL (RUE)|TR|2|0065|TR|TO3|TO1|||||||
3139|EUGENE HUMBERT GUITARD (RUE)|TSE|4|0028|TR|TO3|TO1|||||||
3140|EUGENE LABICHE (RUE)|TN|3|0063|TN|TO3|TO1|||||||
3144|EUGENE LOZES (RUE)|B|2|0092|B|TO3|TO1|||||||
3148|EUGENE SUE (RUE)|TR|1|0065|TR|TO3|TO1|||||||
3152|EUGENE TISSERAND (RUE)|TSE|2|0028|TR|TO3|TO1|||||||
3155|EUROPE (PLACE)|TNO|1|0064|TNO|TO3|TO1|||||||
3156|EURE (RUE DE L')|TSO|2|0029|TMI|TO3|TO2|||||||
3157|VERONE (PASS DE)|TN|2|0063|TN|TO3|TO1|||||||
3160|EVIAN (RUE D')|TO|4|0018|TMI|TO3|TO2|||||||
3164|EYLAU (RUE D')|TN|1|0063|TN|TO3|TO1|||||||
3168|FABAS (RUE)|B|2|0092|B|TO3|TO1|||||||
3172|FABIAN (RUE)|B|2|0092|B|TO3|TO1|||||||
3176|FABIEN ARTIGUES (RUE)|B|2|0092|B|TO3|TO1|||||||
3180|FABRE D'EGLANTINE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
3184|FAGES (CHEM DE) (Impairs)|TR|1|0065|TR|TO3|TO1|||||||
3184|FAGES (CHEM) (Pairs)|TSE|3|0028|TR|TO3|TO1|||||||
3188|FAISANDERIE (RUE DE LA)|B|2|0092|B|TO3|TO1|||||||
3192|FALAISE (BLD DE LA)|TSE|1|0028|TR|TO3|TO1|||||||
3196|FALGUIERE (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3197|FAONS (RUE DES)|TN|4|0063|TN|TO3|TO1|||||||
3198|FAOURETTE (IMP)|TSO|2|0029|TMI|TO3|TO2|||||||
3200|FAOURETTE (RUE DE LA)|TSO|2|0029|TMI|TO3|TO2|||||||
3204|FAUBOURG BONNEFOY (RUE) (Pairs)|B|2|0092|B|TO3|TO1|||||||
3204|FAUBOURG BONNEFOY (RUE) (Impairs)|TN|2|0063|TN|TO3|TO1|||||||
3208|FAUVETTES (RUE DES)|TN|1|0063|TN|TO3|TO1|||||||
3209|FEDERICA MONTSENY (ALL)|TR|2|0065|TR|TO3|TO1|||||||
3210|FEDERICO GARCIA LORCA (RUE)|TNO|3|0064|TNO|TO3|TO1|||||||
3212|FELIBRES (RUE DES)|B|2|0092|B|TO3|TO1|||||||
3216|FELIX BORREL (RUE)|B|2|0092|B|TO3|TO1|||||||
3220|FELIX DURRBACH (RUE)|TR|3|0065|TR|TO3|TO1|||||||
3224|FELIX LAVIT (RUE)|B|2|0092|B|TO3|TO1|||||||
3226|FELIX MATHIEU (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3232|FENELON (RUE)|B|2|0092|B|TO3|TO1|||||||
3236|FENOUILLET (RUE DE)|TNO|2|0064|TNO|TO3|TO1|||||||
3238|FENOUILLET (CHEM DE)|TNO|2|0064|TNO|TO3|TO1|||||||
3239|FENOUL (RUE DE)|TSE|4|0028|TR|TO3|TO1|||||||
3240|FER àCHEVAL (PLACE DU)|TSO|2|0029|TMI|TO3|TO2|||||||
3244|FERDINAND BEBEL (RUE)|B|2|0092|B|TO3|TO1|||||||
3248|FERDINAND FAURE (PLACE)|TN|3|0063|TN|TO3|TO1|||||||
3252|FERDINAND LASSALLE (RUE)|TNO|2|0064|TNO|TO3|TO1|||||||
3253|FERDINAND LAULANIE (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
3254|FERDINAND DE LESSEPS (RUE)|TO|3|0018|TMI|TO3|TO2|||||||
3255|FERETRA (IMP)|TR|2|0065|TR|TO3|TO1|||||||
3256|FERETRA (RUE DU)|TR|2|0065|TR|TO3|TO1|||||||
3260|FERMAT (RUE)|TC|3|0027|TC|TO3|TO1|||||||
3268|FERNAND JOURDANT (ALL)|TSO|2|0029|TMI|TO3|TO1|||||||
3269|FERNAND LEGER (IMP)|TN|4|0063|TN|TO3|TO1|||||||
3272|FERNAND PELLOUTIER (RUE)|TO|4|0018|TMI|TO3|TO2|||||||
3276|FERRANDO (RUE)|TR|1|0065|TR|TO3|TO1|||||||
3280|FERRIERES (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3284|FERRO LEBRES (CHEM DE)|TO|3|0018|TMI|TO3|TO2|||||||
3288|FEUILLANTS (RUE DES)|TSO|2|0029|TMI|TO3|TO2|||||||
3290|FEUILLERAIE (RUE DE LA)|B|2|0092|B|TO3|TO1|||||||
3292|FIEUX (RUE)|TSO|2|0029|TMI|TO3|TO2|||||||
3296|FIGEAC (RUE)|TNO|4|0064|TNO|TO3|TO1|||||||
3297|FIGUIERS (IMP DES)|TO|3|0018|TMI|TO3|TO2|||||||
3300|FILATIERS (RUE DES)|TC|1|0027|TC|TO3|TO1|||||||
